nome_cliente,status_conta,duracao_meses,historico_credito,finalidade,valor,poupanca,tempo_emprego,taxa_parcela,estado_civil_sexo,outros_devedores,tempo_residencia,propriedade,idade,outros_planos,moradia,num_creditos,trabalho,dependentes,telefone,trabalhador_estrangeiro,risco_credito
Dylan Cardoso Vieira,Saldo < R$500,24,existing credits paid back duly till now,Eletrônicos,7552,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,24,none,Alugada,1,Emprego não qualificado,1,no,yes,1
Otávio Assis Moraes,Sem conta corrente,10,existing credits paid back duly till now,Carro novo,3410,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,64,none,Própria,1,Emprego qualificado,1,yes,yes,1
Cauã Goulart Vieira,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Eletrodomésticos,1562,... < 100 DM,... < 1 year,4,male : married/widowed,guarantor,1,real estate,26,bank,Própria,1,Emprego não qualificado,1,no,yes,1
Nicolas Paiva Campos,Saldo < R$500,12,existing credits paid back duly till now,Educação,3000,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,bank,Alugada,1,Emprego qualificado,1,yes,yes,1
Felipe Kruger Xavier,Sem conta corrente,12,existing credits paid back duly till now,Eletrodomésticos,1767,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,Própria,2,Emprego qualificado,1,no,yes,1
Fernando Kruger Cunha,Sem conta corrente,24,delay in paying off in the past,Outros,7445,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,32,none,Própria,2,Emprego qualificado,2,yes,yes,1
Otávio Moraes Silva,Sem conta corrente,15,existing credits paid back duly till now,Carro usado,11642,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,30,none,Própria,1,Emprego qualificado,1,yes,yes,1
Antônio Leal Kruger,Sem conta corrente,36,no credits taken/all credits paid back duly,Outros,6532,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,27,none,Própria,2,Emprego qualificado,1,no,yes,1
Augusto Guimarães Moreira,Saldo entre R$500 e R$1000,48,existing credits paid back duly till now,Eletrodomésticos,27402,... >= 1000 DM,4 <= ... < 7 years,1,male : single,co-applicant,2,unknown/no property,27,bank,Própria,2,Emprego qualificado,1,yes,yes,0
Tiago Neves Peixoto,Saldo < R$500,12,existing credits paid back duly till now,Eletrônicos,19662,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,53,none,Cedida,1,Outros,1,yes,yes,0
Pedro Xavier Borges,Sem conta corrente,9,existing credits paid back duly till now,Eletrodomésticos,3695,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,22,none,Própria,1,Emprego qualificado,1,no,yes,0
Mário Pinto Campos,Saldo < R$500,24,existing credits paid back duly till now,Eletrônicos,7872,... < 100 DM,... < 1 year,4,male : single,none,1,unknown/no property,22,bank,Cedida,1,Emprego qualificado,1,no,yes,1
Otávio Teixeira Rocha,Outros,36,existing credits paid back duly till now,Eletrodomésticos,10525,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,Própria,1,Emprego qualificado,1,no,yes,0
Enzo Gabriel Bicalho Sampaio,Sem conta corrente,9,existing credits paid back duly till now,Carro novo,6267,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,unknown/no property,51,none,Cedida,1,Emprego não qualificado,1,no,yes,1
Lorenzo Neto Vieira,Sem conta corrente,12,existing credits paid back duly till now,Eletrodomésticos,5352,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,1,unknown/no property,35,none,Própria,1,Emprego qualificado,1,no,yes,1
Fernando Aguiar Fernandes,Saldo entre R$500 e R$1000,18,existing credits paid back duly till now,Eletrodomésticos,2165,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,real estate,25,none,Própria,1,Emprego não qualificado,1,no,yes,1
Jorge Correa Carvalho,Sem conta corrente,4,critical account/other credits existing,Eletrodomésticos,3860,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,Própria,3,Emprego não qualificado,2,no,yes,1
Mateus Cardoso Silva,Saldo < R$500,24,existing credits paid back duly till now,Eletrodomésticos,4557,... < 100 DM,unemployed,4,male : single,none,2,car or other,30,stores,Própria,1,Outros,2,no,yes,0
Adriano Oliveira Lopes,Saldo entre R$500 e R$1000,6,existing credits paid back duly till now,Carro novo,36387,unknown/no savings account,unemployed,1,male : single,none,2,building society savings agreement/life insurance,23,none,Própria,1,Outros,1,yes,yes,0
Luiz Aguiar Sampaio,Saldo entre R$500 e R$1000,21,existing credits paid back duly till now,Outros,6917,100 <= ... < 500 DM,... >= 7 years,4,male : divorced/separated,none,2,car or other,61,bank,Alugada,2,Emprego não qualificado,1,no,yes,0
Rafael Queiroz Magalhães,Sem conta corrente,12,critical account/other credits existing,Eletrodomésticos,3227,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,Própria,2,Emprego qualificado,1,no,yes,1
Bruno Cunha Amaral,Saldo < R$500,30,existing credits paid back duly till now,Eletrodomésticos,6305,... < 100 DM,... >= 7 years,1,male : single,guarantor,3,building society savings agreement/life insurance,39,none,Própria,1,Emprego qualificado,2,no,yes,1
Henrique Machado Pereira,Saldo < R$500,24,existing credits paid back duly till now,Carro novo,2287,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,car or other,29,bank,Própria,1,Emprego qualificado,1,no,yes,0
Lorenzo Goulart Pereira,Sem conta corrente,6,existing credits paid back duly till now,Eletrodomésticos,3987,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,51,none,Própria,1,Emprego qualificado,2,no,yes,1
Caio Fogaça Britto,Saldo < R$500,48,no credits taken/all credits paid back duly,Carro usado,11512,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,24,none,Cedida,2,Emprego qualificado,2,no,yes,0
Ricardo Kruger Ramos,Sem conta corrente,12,critical account/other credits existing,Outros,2962,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,Própria,2,Emprego qualificado,1,no,yes,1
Emanuel Marques Guimarães,Sem conta corrente,12,all credits at this bank paid back duly,Outros,8617,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,Própria,1,Emprego não qualificado,2,no,yes,1
Daniel Pacheco Neves,Sem conta corrente,24,existing credits paid back duly till now,Outros,3145,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,25,none,Própria,1,Emprego qualificado,1,yes,yes,1
José Leal Kruger,Sem conta corrente,12,critical account/other credits existing,Eletrodomésticos,1792,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,52,none,Própria,3,Emprego qualificado,1,no,yes,1
Alexandre Martins Bezerra,Sem conta corrente,6,no credits taken/all credits paid back duly,Carro novo,3010,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,unknown/no property,35,bank,Alugada,1,Emprego qualificado,1,no,no,1
Heitor Ferreira Matos,Outros,24,existing credits paid back duly till now,Eletrônicos,4812,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,26,none,Própria,1,Emprego qualificado,1,no,yes,1
Anthony Teixeira Moreira,Sem conta corrente,18,existing credits paid back duly till now,Eletrodomésticos,1082,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,Alugada,1,Emprego qualificado,1,no,yes,0
Ícaro Gomes Henrique,Saldo < R$500,6,critical account/other credits existing,Carro novo,1665,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,Própria,2,Emprego não qualificado,1,yes,yes,1
Diego Rodrigues Neves,Outros,12,existing credits paid back duly till now,Eletrônicos,5627,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,46,none,Própria,1,Emprego não qualificado,1,no,yes,1
Ryan Fernandes Magalhães,Saldo entre R$500 e R$1000,30,existing credits paid back duly till now,Carro novo,5375,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,unknown/no property,24,bank,Própria,1,Emprego qualificado,1,no,yes,0
Marcelo Costa Bicalho,Sem conta corrente,24,delay in paying off in the past,Eletrônicos,10377,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/life insurance,35,none,Própria,2,Emprego qualificado,1,no,yes,1
Matheus Guimarães Fonseca,Saldo entre R$500 e R$1000,9,existing credits paid back duly till now,Eletrônicos,5075,unknown/no savings account,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,Própria,1,Emprego qualificado,1,yes,yes,1
Carlos Estrada Marques,Saldo entre R$500 e R$1000,60,delay in paying off in the past,Eletrodomésticos,18545,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,1,real estate,27,none,Própria,1,Emprego não qualificado,1,no,yes,1
Marcelo Leal Neves,Sem conta corrente,24,critical account/other credits existing,Eletrodomésticos,6710,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,35,none,Própria,2,Emprego não qualificado,1,no,yes,1
João Rocha Franco,Saldo < R$500,12,all credits at this bank paid back duly,Eletrodomésticos,5372,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,1,unknown/no property,29,none,Cedida,1,Emprego qualificado,1,no,yes,0
Pedro Kruger Torres,Sem conta corrente,15,existing credits paid back duly till now,Carro usado,9530,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,23,none,Própria,1,Emprego qualificado,1,yes,yes,1
Anthony Macedo Rodrigues,Sem conta corrente,11,critical account/other credits existing,Eletrodomésticos,2885,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,Própria,3,Emprego não qualificado,1,no,yes,1
Antônio Leite Nascimento,Saldo < R$500,12,existing credits paid back duly till now,Eletrônicos,4142,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,Própria,1,Emprego qualificado,1,no,yes,1
Leandro Sales Queiroz,Saldo < R$500,24,existing credits paid back duly till now,Eletrodomésticos,4007,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,car or other,55,none,Própria,1,Emprego qualificado,1,no,yes,1
Cauã Abreu Soares,Saldo < R$500,18,critical account/other credits existing,Carro novo,13255,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,36,none,Cedida,3,Outros,1,yes,yes,1
Antônio Veloso Pacheco,Sem conta corrente,12,critical account/other credits existing,Educação,6870,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,57,bank,Cedida,3,Emprego não qualificado,1,no,yes,1
João Cavalcanti Campos,Sem conta corrente,10,critical account/other credits existing,Carro novo,3077,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,32,none,Própria,2,Emprego não qualificado,2,no,no,1
Tomás Souza Mello,Saldo entre R$500 e R$1000,15,existing credits paid back duly till now,Eletrodomésticos,2005,... < 100 DM,... >= 7 years,4,male : single,none,3,car or other,37,none,Própria,1,Emprego qualificado,2,no,yes,0
Ryan Pinto Coelho,Sem conta corrente,36,critical account/other credits existing,Outros,15760,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,Própria,2,Emprego qualificado,1,no,yes,1
Lucca Moraes Nunes,Sem conta corrente,24,existing credits paid back duly till now,Eletrodomésticos,3832,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,Própria,1,Emprego qualificado,1,yes,yes,1
Davi Assis Oliveira,Saldo < R$500,14,existing credits paid back duly till now,Carro novo,22445,... < 100 DM,... >= 7 years,1,male : divorced/separated,none,4,building society savings agreement/life insurance,45,none,Própria,1,Outros,1,yes,no,0
Renato Ribeiro Brito,Sem conta corrente,24,existing credits paid back duly till now,Eletrodomésticos,2497,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,25,none,Própria,2,Emprego qualificado,1,no,yes,1
Adriano Rodrigues Lobato,Sem conta corrente,18,existing credits paid back duly till now,Carro novo,6655,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,32,none,Própria,1,Emprego qualificado,1,no,no,1
Nathan Soares Teixeira,Sem conta corrente,12,critical account/other credits existing,Eletrônicos,3505,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,Alugada,1,Emprego qualificado,1,yes,yes,1
Leonardo Amorim Bicalho,Saldo entre R$500 e R$1000,48,all credits at this bank paid back duly,Carro novo,30422,unknown/no savings account,unemployed,4,male : single,co-applicant,4,unknown/no property,36,none,Cedida,1,Outros,1,yes,yes,1
Gustavo Fraga Sampaio,Saldo entre R$500 e R$1000,48,existing credits paid back duly till now,Eletrodomésticos,7650,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,Própria,2,Emprego qualificado,1,no,yes,0
Cláudio Peixoto Siqueira,Saldo < R$500,30,existing credits paid back duly till now,Outros,29995,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,unknown/no property,34,none,Própria,1,Emprego não qualificado,1,yes,yes,0
Enzo Britto Moura,Sem conta corrente,9,existing credits paid back duly till now,Eletrodomésticos,6742,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,Própria,1,Emprego qualificado,2,no,yes,1
Pedro Henrique Freitas Amorim,Sem conta corrente,18,critical account/other credits existing,Eletrodomésticos,6010,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,Própria,2,Emprego qualificado,1,no,yes,1
Cláudio Guimarães Moura,Saldo < R$500,12,existing credits paid back duly till now,Eletrônicos,3155,unknown/no savings account,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/life insurance,49,none,Própria,1,Emprego não qualificado,1,yes,yes,1
Wagner Peixoto Morais,Sem conta corrente,6,existing credits paid back duly till now,Eletrônicos,11527,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,Própria,1,Emprego qualificado,1,no,yes,0
Paulo Amorim Freitas,Sem conta corrente,24,existing credits paid back duly till now,Eletrodomésticos,4752,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,Alugada,1,Outros,1,yes,yes,1
Cláudio Torres Rodrigues,Sem conta corrente,15,critical account/other credits existing,Carro usado,8420,... >= 1000 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,none,Alugada,2,Emprego qualificado,1,yes,yes,1
Alexandre Souza Gomes,Sem conta corrente,12,existing credits paid back duly till now,Eletrônicos,3935,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,Própria,1,Emprego qualificado,1,no,yes,1
Tiago Soares Queiroz,Outros,18,all credits at this bank paid back duly,Eletrodomésticos,3612,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,49,bank,Própria,1,Emprego não qualificado,1,no,yes,1
Daniel Bastos Cavalcante,Sem conta corrente,15,critical account/other credits existing,Eletrônicos,3800,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,Própria,1,Emprego qualificado,1,no,yes,1
Anthony Coelho Ferreira,Saldo entre R$500 e R$1000,24,critical account/other credits existing,Carro novo,9695,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,none,2,car or other,37,none,Própria,1,Emprego qualificado,1,yes,yes,1
Leandro Fraga Leal,Saldo < R$500,47,existing credits paid back duly till now,Carro novo,26805,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,Própria,1,Emprego não qualificado,1,yes,yes,1
César Sampaio Nascimento,Saldo < R$500,48,existing credits paid back duly till now,Carro usado,11970,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,Própria,1,Emprego qualificado,2,no,yes,1
Julio Rabelo Macedo,Saldo entre R$500 e R$1000,48,delay in paying off in the past,Outros,18955,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown/no property,31,none,Cedida,1,Outros,1,yes,yes,1
Kaique Lopes Pereira,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Eletrodomésticos,2730,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,Própria,2,Emprego qualificado,1,yes,yes,1
Francisco Souza Henrique,Saldo < R$500,24,delay in paying off in the past,Eletrodomésticos,2560,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,Própria,1,Emprego qualificado,1,no,yes,0
Vinícius Paiva Magalhães,Sem conta corrente,12,existing credits paid back duly till now,Outros,2690,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,Própria,1,Emprego qualificado,1,yes,no,1
Dante Marques Lacerda,Saldo entre R$500 e R$1000,36,existing credits paid back duly till now,Carro usado,23495,... < 100 DM,... < 1 year,1,male : married/widowed,none,4,car or other,28,none,Alugada,1,Outros,1,yes,yes,0
Samuel Britto Tavares,Saldo < R$500,24,critical account/other credits existing,Carro usado,16047,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,44,none,Cedida,2,Outros,2,yes,yes,1
Cláudio Vieira Rocha,Outros,42,critical account/other credits existing,Carro usado,11990,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,56,none,Cedida,1,Emprego qualificado,1,no,yes,1
Carlos Matos Kruger,Sem conta corrente,48,critical account/other credits existing,Outros,19072,unknown/no savings account,... >= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,Própria,2,Outros,2,no,yes,1
Igor Tavares Dias,Saldo entre R$500 e R$1000,48,existing credits paid back duly till now,Eletrônicos,24900,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,car or other,26,none,Própria,1,Emprego qualificado,1,yes,yes,0
André Maia Silva,Sem conta corrente,12,existing credits paid back duly till now,Carro usado,11687,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,Alugada,1,Emprego qualificado,1,no,yes,1
Carlos Ribeiro Goulart,Sem conta corrente,10,existing credits paid back duly till now,Carro novo,3217,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/life insurance,45,none,Própria,1,Emprego não qualificado,1,no,no,1
Roberto Coelho Correa,Sem conta corrente,18,existing credits paid back duly till now,Eletrônicos,6287,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,Própria,1,Emprego qualificado,1,yes,yes,1
Theo Goulart Campos,Saldo entre R$500 e R$1000,21,critical account/other credits existing,Eletrônicos,6862,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,Própria,2,Emprego qualificado,1,yes,yes,1
Guilherme Pacheco Nunes,Sem conta corrente,6,existing credits paid back duly till now,Carro novo,1680,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,Própria,1,Outros,1,yes,yes,1
Jorge Carneiro Henrique,Saldo entre R$500 e R$1000,36,no credits taken/all credits paid back duly,Eletrodomésticos,9510,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,Própria,1,Emprego qualificado,1,yes,yes,0
Breno Monteiro Tavares,Outros,24,critical account/other credits existing,Carro novo,3360,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,Própria,2,Emprego não qualificado,2,no,yes,0
João Lucas Nunes Reis,Saldo < R$500,10,critical account/other credits existing,Carro novo,2595,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/life insurance,49,none,Própria,2,Emprego qualificado,1,yes,yes,1
João Pereira Neto,Sem conta corrente,48,critical account/other credits existing,Carro novo,25317,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,44,bank,Cedida,1,Emprego qualificado,1,no,yes,0
Wagner Amorim Teixeira,Sem conta corrente,6,existing credits paid back duly till now,Eletrônicos,3857,... >= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,Própria,1,Emprego qualificado,1,no,yes,1
Tiago Carneiro Carvalho,Sem conta corrente,30,existing credits paid back duly till now,Carro usado,12027,unknown/no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,Alugada,1,Emprego não qualificado,1,no,yes,1
Lucas Machado Castro,Saldo < R$500,12,existing credits paid back duly till now,Eletrodomésticos,1817,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown/no property,33,none,Própria,1,Emprego não qualificado,1,yes,yes,0
Theo Cavalcante Santos,Saldo entre R$500 e R$1000,8,existing credits paid back duly till now,Eletrônicos,3092,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,Própria,1,Emprego qualificado,1,no,yes,0
Matheus Carvalho Estrada,Saldo entre R$500 e R$1000,9,existing credits paid back duly till now,Carro novo,690,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,Alugada,1,Emprego não qualificado,1,no,yes,1
Tiago Alves Oliveira,Saldo entre R$500 e R$1000,48,existing credits paid back duly till now,Outros,13452,unknown/no savings account,unemployed,3,male : single,none,4,unknown/no property,40,bank,Cedida,1,Outros,1,yes,yes,1
Leonardo Fernandes Peixoto,Sem conta corrente,24,existing credits paid back duly till now,Eletrônicos,13777,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,Própria,1,Emprego qualificado,1,no,yes,1
Mateus Siqueira Fonseca,Outros,24,existing credits paid back duly till now,Eletrônicos,9372,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,Própria,1,Emprego qualificado,1,no,yes,1
Ricardo Queiroz Moraes,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Carro novo,1712,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,3,car or other,25,bank,Própria,1,Emprego não qualificado,1,no,yes,0
Nathan Soares Carneiro,Outros,4,existing credits paid back duly till now,Carro novo,3735,unknown/no savings account,... < 1 year,1,male : single,none,2,real estate,29,none,Própria,1,Emprego não qualificado,2,no,no,1
Lucas Borges Moreira,Saldo < R$500,36,all credits at this bank paid back duly,Eletrônicos,6865,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,31,bank,Própria,1,Emprego qualificado,1,no,yes,0
Daniel Martins Bastos,Saldo < R$500,12,existing credits paid back duly till now,Eletrônicos,1770,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/life insurance,38,none,Própria,1,Emprego não qualificado,2,no,yes,1
Vinícius Duarte Gomes,Saldo entre R$500 e R$1000,24,existing credits paid back duly till now,Eletrônicos,10877,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,Própria,1,Emprego não qualificado,1,yes,yes,1
Dante Fernandes Novaes,Sem conta corrente,12,critical account/other credits existing,Educação,1752,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,Própria,2,Emprego qualificado,1,no,yes,1
Carlos Coelho Pereira,Saldo < R$500,15,delay in paying off in the past,Eletrônicos,9107,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,Própria,2,Emprego não qualificado,1,no,yes,1
Benjamin Abreu Medeiros,Saldo entre R$500 e R$1000,30,critical account/other credits existing,Carro novo,10622,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,Própria,2,Outros,1,no,yes,0
Joaquim Ferreira Dantas,Saldo < R$500,24,existing credits paid back duly till now,Eletrodomésticos,4845,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,32,none,Própria,1,Emprego qualificado,1,no,yes,0
Matheus Siqueira Moura,Saldo < R$500,24,existing credits paid back duly till now,Carro usado,7275,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,34,none,Cedida,1,Outros,1,yes,yes,1
Murilo Henrique Estrada,Saldo < R$500,18,existing credits paid back duly till now,Eletrônicos,6647,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,28,none,Própria,1,Emprego qualificado,1,no,yes,1
Dylan Neves Leite,Sem conta corrente,18,critical account/other credits existing,Carro novo,2570,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,Própria,2,Emprego qualificado,1,no,yes,1
Thiago Rocha Maia,Saldo < R$500,8,critical account/other credits existing,Carro novo,8495,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,Própria,2,Emprego não qualificado,1,no,no,1
Dylan Souza Lobato,Sem conta corrente,12,critical account/other credits existing,Eletrônicos,14502,unknown/no savings account,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,49,none,Alugada,1,Emprego qualificado,1,yes,yes,1
Kaique Mello Lobato,Sem conta corrente,24,existing credits paid back duly till now,Carro novo,3812,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,Própria,1,Emprego qualificado,2,yes,yes,1
Henrique Franco Lima,Outros,36,existing credits paid back duly till now,Eletrodomésticos,11182,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,31,none,Própria,1,Emprego qualificado,1,no,yes,1
Antônio Cardoso Araújo,Saldo entre R$500 e R$1000,6,existing credits paid back duly till now,Eletrodomésticos,2670,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,28,none,Própria,1,Emprego qualificado,2,no,yes,1
Lorenzo Andrade Macedo,Saldo < R$500,24,critical account/other credits existing,Carro usado,16537,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,75,none,Cedida,2,Outros,1,yes,yes,1
Pedro Fraga Bastos,Sem conta corrente,18,critical account/other credits existing,Educação,4660,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,Própria,2,Emprego qualificado,1,no,yes,0
Kaique Souza Amorim,Saldo entre R$500 e R$1000,60,existing credits paid back duly till now,Carro novo,18520,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,Própria,1,Outros,1,no,yes,0
Pedro Lobato Cavalcanti,Sem conta corrente,48,critical account/other credits existing,Carro usado,28975,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,bank,Alugada,2,Emprego não qualificado,1,no,yes,0
Augusto Aguiar Fraga,Saldo < R$500,24,no credits taken/all credits paid back duly,Eletrônicos,10275,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,bank,Alugada,2,Emprego qualificado,2,no,yes,0
Davi Lucas Sampaio Pereira,Saldo < R$500,6,critical account/other credits existing,Eletrônicos,8460,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,Alugada,1,Outros,1,yes,yes,0
Matheus Cavalcanti Campos,Saldo entre R$500 e R$1000,13,existing credits paid back duly till now,Eletrodomésticos,5252,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,Própria,1,Emprego não qualificado,1,no,yes,1
Sérgio Rodrigues Maia,Saldo < R$500,15,existing credits paid back duly till now,Outros,3187,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,24,none,Alugada,1,Emprego qualificado,1,no,yes,0
Matheus Duarte Vieira,Saldo < R$500,24,existing credits paid back duly till now,Eletrônicos,10422,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,28,none,Própria,1,Emprego qualificado,1,no,yes,1
